Date,Adj Close SPY
6/25/2004,107.74
6/28/2004,107.37
6/29/2004,107.82
6/30/2004,108.39
7/1/2004,106.89
7/2/2004,106.83
7/6/2004,105.9
7/7/2004,106.21
7/8/2004,105.47
7/9/2004,105.74
7/12/2004,105.79
7/13/2004,105.87
7/14/2004,105.54
7/15/2004,104.86
7/16/2004,104.78
7/19/2004,104.33
7/20/2004,105.66
7/21/2004,103.71
7/22/2004,103.99
7/23/2004,103.12
7/26/2004,102.92
7/27/2004,103.89
7/28/2004,104.2
7/29/2004,104.65
7/30/2004,104.9
8/2/2004,105.12
8/3/2004,104.31
8/4/2004,104.3
8/5/2004,102.59
8/6/2004,101.13
8/9/2004,101.27
8/10/2004,102.57
8/11/2004,102.36
8/12/2004,101.25
8/13/2004,101.45
8/16/2004,102.5
8/17/2004,103.07
8/18/2004,104.13
8/19/2004,103.83
8/20/2004,104.56
8/23/2004,104.3
8/24/2004,104.44
8/25/2004,105.15
8/26/2004,105.15
8/27/2004,105.48
8/30/2004,104.61
8/31/2004,105.16
9/1/2004,105.36
9/2/2004,106.55
9/3/2004,106.11
9/7/2004,106.81
9/8/2004,106.55
9/9/2004,106.45
9/10/2004,107
9/13/2004,107.35
9/14/2004,107.57
9/15/2004,106.76
9/16/2004,107.08
9/17/2004,107.53
9/20/2004,106.89
9/21/2004,107.35
9/22/2004,106.01
9/23/2004,105.44
9/24/2004,105.93
9/27/2004,105.25
9/28/2004,105.76
9/29/2004,106.29
9/30/2004,106.21
10/1/2004,108.01
10/4/2004,108.19
10/5/2004,108.25
10/6/2004,108.99
10/7/2004,107.82
10/8/2004,106.93
10/11/2004,107.36
10/12/2004,106.94
10/13/2004,106
10/14/2004,105.15
10/15/2004,105.74
10/18/2004,106.14
10/19/2004,105.24
10/20/2004,105.03
10/21/2004,105.72
10/22/2004,104.53
10/25/2004,104.41
10/26/2004,106
10/27/2004,107.28
10/28/2004,107.6
10/29/2004,107.58
11/1/2004,107.88
11/2/2004,107.91
11/3/2004,109.27
11/4/2004,110.76
11/5/2004,111.46
11/8/2004,111.3
11/9/2004,111.08
11/10/2004,111.16
11/11/2004,112.01
11/12/2004,112.89
11/15/2004,113.17
11/16/2004,112.36
11/17/2004,113.03
11/18/2004,113.18
11/19/2004,111.92
11/22/2004,112.46
11/23/2004,112.63
11/24/2004,112.89
11/26/2004,112.81
11/29/2004,112.29
11/30/2004,112.37
12/1/2004,113.65
12/2/2004,113.74
12/3/2004,113.67
12/6/2004,113.63
12/7/2004,112.57
12/8/2004,113.23
12/9/2004,113.63
12/10/2004,113.74
12/13/2004,114.73
12/14/2004,115.13
12/15/2004,115.22
12/16/2004,115.15
12/17/2004,114.39
12/20/2004,114.41
12/21/2004,115.3
12/22/2004,115.57
12/23/2004,115.66
12/27/2004,115.42
12/28/2004,116.05
12/29/2004,116.22
12/30/2004,116
12/31/2004,115.75
1/3/2005,115.21
1/4/2005,113.8
1/5/2005,113.02
1/6/2005,113.59
1/7/2005,113.43
1/10/2005,113.96
1/11/2005,113.18
1/12/2005,113.55
1/13/2005,112.64
1/14/2005,113.24
1/18/2005,114.41
1/19/2005,113.22
1/20/2005,112.53
1/21/2005,111.84
1/24/2005,111.62
1/25/2005,111.93
1/26/2005,112.27
1/27/2005,112.46
1/28/2005,112.46
1/31/2005,113.16
2/1/2005,113.88
2/2/2005,114.22
2/3/2005,113.93
2/4/2005,115.14
2/7/2005,114.99
2/8/2005,115.12
2/9/2005,114.26
2/10/2005,114.67
2/11/2005,115.66
2/14/2005,115.57
2/15/2005,116
2/16/2005,116.08
2/17/2005,115.14
2/18/2005,115.3
2/22/2005,113.58
2/23/2005,114.39
2/24/2005,115.15
2/25/2005,116.29
2/28/2005,115.52
3/1/2005,116.1
3/2/2005,116.04
3/3/2005,116.09
3/4/2005,117.54
3/7/2005,117.59
3/8/2005,117.15
3/9/2005,115.85
3/10/2005,116.11
3/11/2005,115.3
3/14/2005,116.01
3/15/2005,115.06
3/16/2005,114.08
3/17/2005,114.31
3/18/2005,113.97
3/21/2005,113.55
3/22/2005,112.39
3/23/2005,112.49
3/24/2005,112.62
3/28/2005,112.79
3/29/2005,112.04
3/30/2005,113.62
3/31/2005,113.41
4/1/2005,112.9
4/4/2005,113.09
4/5/2005,113.63
4/6/2005,114.03
4/7/2005,114.64
4/8/2005,113.45
4/11/2005,113.54
4/12/2005,114.12
4/13/2005,112.78
4/14/2005,111.31
4/15/2005,109.75
4/18/2005,110.08
4/19/2005,110.96
4/20/2005,109.41
4/21/2005,111.54
4/22/2005,111.11
4/25/2005,111.84
4/26/2005,110.76
4/27/2005,111.19
4/28/2005,109.8
4/29/2005,111.29
5/2/2005,111.91
5/3/2005,112.1
5/4/2005,112.97
5/5/2005,112.93
5/6/2005,112.58
5/9/2005,113.28
5/10/2005,112.1
5/11/2005,112.72
5/12/2005,111.48
5/13/2005,111.26
5/16/2005,112.3
5/17/2005,113.05
5/18/2005,114.21
5/19/2005,114.69
5/20/2005,114.53
5/23/2005,115.16
5/24/2005,114.89
5/25/2005,114.81
5/26/2005,115.42
5/27/2005,115.61
5/31/2005,114.87
6/1/2005,115.85
6/2/2005,116.1
6/3/2005,115.52
